state,year,tavg
Alabama,1969,69.9
Alabama,1969,77.8
Alabama,1969,81.1
Alabama,1969,77.1
Alabama,1969,72.0
Alabama,1969,64.1
Alabama,1969,50.2
Alabama,1969,43.5
Alabama,1970,38.0
Alabama,1970,44.3
Alabama,1970,52.7
Alabama,1970,65.8
Alabama,1970,70.8
Alabama,1970,75.3
Alabama,1970,79.0
Alabama,1970,79.1
Alabama,1970,77.4
Alabama,1970,64.2
Alabama,1970,49.3
Alabama,1970,49.5
Alabama,1971,45.0
Alabama,1971,45.8
Alabama,1971,50.0
Alabama,1971,61.2
Alabama,1971,66.6
Alabama,1971,78.0
Alabama,1971,78.0
Alabama,1971,77.7
Alabama,1971,75.2
Alabama,1971,67.7
Alabama,1971,52.2
Alabama,1971,54.9
Alabama,1972,49.1
Alabama,1972,47.0
Alabama,1972,55.1
Alabama,1972,63.5
Alabama,1972,68.7
Alabama,1972,75.0
Alabama,1972,77.6
Alabama,1972,79.1
Alabama,1972,77.2
Alabama,1972,63.4
Alabama,1972,50.7
Alabama,1972,49.1
Alabama,1973,43.2
Alabama,1973,44.6
Alabama,1973,59.9
Alabama,1973,60.1
Alabama,1973,67.7
Alabama,1973,76.9
Alabama,1973,79.9
Alabama,1973,77.6
Alabama,1973,76.5
Alabama,1973,66.7
Alabama,1973,57.6
Alabama,1973,46.0
Alabama,1974,55.0
Alabama,1974,47.7
Alabama,1974,60.1
Alabama,1974,62.0
Alabama,1974,71.8
Alabama,1974,73.4
Alabama,1974,78.9
Alabama,1974,77.8
Alabama,1974,70.9
Alabama,1974,60.3
Alabama,1974,52.6
Alabama,1974,46.7
Alabama,1975,49.0
Alabama,1975,51.1
Alabama,1975,53.7
Alabama,1975,60.9
Alabama,1975,72.3
Alabama,1975,76.1
Alabama,1975,78.0
Alabama,1975,78.5
Alabama,1975,70.4
Alabama,1975,64.3
Alabama,1975,54.4
Alabama,1975,45.2
Alabama,1976,40.6
Alabama,1976,53.0
Alabama,1976,58.2
Alabama,1976,62.7
Alabama,1976,65.4
Alabama,1976,74.6
Alabama,1976,78.6
Alabama,1976,77.1
Alabama,1976,72.0
Alabama,1976,57.9
Alabama,1976,45.9
Alabama,1976,42.1
Alabama,1977,33.3
Alabama,1977,45.2
Alabama,1977,57.5
Alabama,1977,64.9
Alabama,1977,71.9
Alabama,1977,79.1
Alabama,1977,81.3
Alabama,1977,79.6
Alabama,1977,75.7
Alabama,1977,60.3
Alabama,1977,55.9
Alabama,1977,44.8
Alabama,1978,35.6
Alabama,1978,38.8
Alabama,1978,51.2
Alabama,1978,63.9
Alabama,1978,70.0
Alabama,1978,78.0
Alabama,1978,80.7
Alabama,1978,79.3
Alabama,1978,76.9
Alabama,1978,62.2
Alabama,1978,59.2
Alabama,1978,46.6
Alabama,1979,37.8
Alabama,1979,43.6
Alabama,1979,55.8
Alabama,1979,63.6
Alabama,1979,69.5
Alabama,1979,75.2
Alabama,1979,79.0
Alabama,1979,78.4
Alabama,1979,72.6
Alabama,1979,62.4
Alabama,1979,52.8
Alabama,1979,45.6
Alabama,1980,46.7
Alabama,1980,42.7
Alabama,1980,52.6
Alabama,1980,60.6
Alabama,1980,70.2
Alabama,1980,77.4
Alabama,1980,82.6
Alabama,1980,81.5
Alabama,1980,78.1
Alabama,1980,60.2
Alabama,1980,52.0
Alabama,1980,45.0
Alabama,1981,39.5
Alabama,1981,47.2
Alabama,1981,52.2
Alabama,1981,66.8
Alabama,1981,67.3
Alabama,1981,79.9
Alabama,1981,81.4
Alabama,1981,78.3
Alabama,1981,71.5
Alabama,1981,61.8
Alabama,1981,54.8
Alabama,1981,43.1
Alabama,1982,42.9
Alabama,1982,48.4
Alabama,1982,58.5
Alabama,1982,60.4
Alabama,1982,71.7
Alabama,1982,76.3
Alabama,1982,79.5
Alabama,1982,78.6
Alabama,1982,72.2
Alabama,1982,64.1
Alabama,1982,55.1
Alabama,1982,52.4
Alabama,1983,42.1
Alabama,1983,46.6
Alabama,1983,52.0
Alabama,1983,57.8
Alabama,1983,68.6
Alabama,1983,74.5
Alabama,1983,80.6
Alabama,1983,81.1
Alabama,1983,72.0
Alabama,1983,64.0
Alabama,1983,53.2
Alabama,1983,41.8
Alabama,1984,40.3
Alabama,1984,48.6
Alabama,1984,53.7
Alabama,1984,61.0
Alabama,1984,68.8
Alabama,1984,77.0
Alabama,1984,78.2
Alabama,1984,77.3
Alabama,1984,72.5
Alabama,1984,69.5
Alabama,1984,51.8
Alabama,1984,55.1
Alabama,1985,37.2
Alabama,1985,45.5
Alabama,1985,58.7
Alabama,1985,64.0
Alabama,1985,70.6
Alabama,1985,77.5
Alabama,1985,78.5
Alabama,1985,78.4
Alabama,1985,72.7
Alabama,1985,67.6
Alabama,1985,61.2
Alabama,1985,41.6
Alabama,1986,43.1
Alabama,1986,51.5
Alabama,1986,55.4
Alabama,1986,62.5
Alabama,1986,71.4
Alabama,1986,79.0
Alabama,1986,82.3
Alabama,1986,78.4
Alabama,1986,76.4
Alabama,1986,64.4
Alabama,1986,58.8
Alabama,1986,45.9
Alabama,1987,43.0
Alabama,1987,48.2
Alabama,1987,55.7
Alabama,1987,60.2
Alabama,1987,73.4
Alabama,1987,77.0
Alabama,1987,80.2
Alabama,1987,81.3
Alabama,1987,73.6
Alabama,1987,57.8
Alabama,1987,55.7
Alabama,1987,50.4
Alabama,1988,40.7
Alabama,1988,45.4
Alabama,1988,54.3
Alabama,1988,62.8
Alabama,1988,68.3
Alabama,1988,77.1
Alabama,1988,78.9
Alabama,1988,80.4
Alabama,1988,74.5
Alabama,1988,59.2
Alabama,1988,56.5
Alabama,1988,46.8
Alabama,1989,50.6
Alabama,1989,48.1
Alabama,1989,57.3
Alabama,1989,61.1
Alabama,1989,68.6
Alabama,1989,76.0
Alabama,1989,78.6
Alabama,1989,78.6
Alabama,1989,72.9
Alabama,1989,62.3
Alabama,1989,54.0
Alabama,1989,38.3
Alabama,1990,49.8
Alabama,1990,54.7
Alabama,1990,58.1
Alabama,1990,61.4
Alabama,1990,69.4
Alabama,1990,77.6
Alabama,1990,79.5
Alabama,1990,80.9
Alabama,1990,76.3
Alabama,1990,64.0
Alabama,1990,56.4
Alabama,1990,50.9
Alabama,1991,45.8
Alabama,1991,50.4
Alabama,1991,56.9
Alabama,1991,65.9
Alabama,1991,73.2
Alabama,1991,76.8
Alabama,1991,80.5
Alabama,1991,78.8
Alabama,1991,74.4
Alabama,1991,64.6
Alabama,1991,50.4
Alabama,1991,49.8
Alabama,1992,44.1
Alabama,1992,51.4
Alabama,1992,54.9
Alabama,1992,61.5
Alabama,1992,68.0
Alabama,1992,74.9
Alabama,1992,79.9
Alabama,1992,75.8
Alabama,1992,73.4
Alabama,1992,61.9
Alabama,1992,52.4
Alabama,1992,47.1
Alabama,1993,48.8
Alabama,1993,46.2
Alabama,1993,51.7
Alabama,1993,58.7
Alabama,1993,68.8
Alabama,1993,77.6
Alabama,1993,82.2
Alabama,1993,80.1
Alabama,1993,74.0
Alabama,1993,62.8
Alabama,1993,51.7
Alabama,1993,45.3
Alabama,1994,40.8
Alabama,1994,50.3
Alabama,1994,55.8
Alabama,1994,64.7
Alabama,1994,68.4
Alabama,1994,77.8
Alabama,1994,77.6
Alabama,1994,77.2
Alabama,1994,72.2
Alabama,1994,64.0
Alabama,1994,58.0
Alabama,1994,49.9
Alabama,1995,45.4
Alabama,1995,47.6
Alabama,1995,58.2
Alabama,1995,63.2
Alabama,1995,72.1
Alabama,1995,75.2
Alabama,1995,81.1
Alabama,1995,81.9
Alabama,1995,73.7
Alabama,1995,63.6
Alabama,1995,49.7
Alabama,1995,44.7
Alabama,1996,43.5
Alabama,1996,47.3
Alabama,1996,50.9
Alabama,1996,60.0
Alabama,1996,73.0
Alabama,1996,76.7
Alabama,1996,79.6
Alabama,1996,77.9
Alabama,1996,72.1
Alabama,1996,62.7
Alabama,1996,52.7
Alabama,1996,49.1
Alabama,1997,45.9
Alabama,1997,50.8
Alabama,1997,61.2
Alabama,1997,58.8
Alabama,1997,67.2
Alabama,1997,74.0
Alabama,1997,80.1
Alabama,1997,77.7
Alabama,1997,74.8
Alabama,1997,63.1
Alabama,1997,50.0
Alabama,1997,44.8
Alabama,1998,47.8
Alabama,1998,49.2
Alabama,1998,53.4
Alabama,1998,61.6
Alabama,1998,73.6
Alabama,1998,80.7
Alabama,1998,81.8
Alabama,1998,79.9
Alabama,1998,77.4
Alabama,1998,66.8
Alabama,1998,57.9
Alabama,1998,51.4
Alabama,1999,49.4
Alabama,1999,51.8
Alabama,1999,52.8
Alabama,1999,67.1
Alabama,1999,69.5
Alabama,1999,76.7
Alabama,1999,80.5
Alabama,1999,81.8
Alabama,1999,73.3
Alabama,1999,63.6
Alabama,1999,56.2
Alabama,1999,47.0
Alabama,2000,46.5
Alabama,2000,52.3
Alabama,2000,58.9
Alabama,2000,60.1
Alabama,2000,74.0
Alabama,2000,77.6
Alabama,2000,81.9
Alabama,2000,81.0
Alabama,2000,73.9
Alabama,2000,64.6
Alabama,2000,52.8
Alabama,2000,39.2
Alabama,2001,41.2
Alabama,2001,52.6
Alabama,2001,51.4
Alabama,2001,64.7
Alabama,2001,70.6
Alabama,2001,75.8
Alabama,2001,79.7
Alabama,2001,78.5
Alabama,2001,71.9
Alabama,2001,60.6
Alabama,2001,58.8
Alabama,2001,50.6
