state,year,tmax
Alabama,1969,82.1
Alabama,1969,90.6
Alabama,1969,92.3
Alabama,1969,88.6
Alabama,1969,83.6
Alabama,1969,75.4
Alabama,1969,64.4
Alabama,1969,55.1
Alabama,1970,48.3
Alabama,1970,57.9
Alabama,1970,64.3
Alabama,1970,78.2
Alabama,1970,84.5
Alabama,1970,86.2
Alabama,1970,91.0
Alabama,1970,89.2
Alabama,1970,89.2
Alabama,1970,75.3
Alabama,1970,62.1
Alabama,1970,61.4
Alabama,1971,55.8
Alabama,1971,58.4
Alabama,1971,62.5
Alabama,1971,76.3
Alabama,1971,79.5
Alabama,1971,90.2
Alabama,1971,88.2
Alabama,1971,88.0
Alabama,1971,85.3
Alabama,1971,79.5
Alabama,1971,65.2
Alabama,1971,64.3
Alabama,1972,60.4
Alabama,1972,58.0
Alabama,1972,68.1
Alabama,1972,76.9
Alabama,1972,80.6
Alabama,1972,87.4
Alabama,1972,89.2
Alabama,1972,90.9
Alabama,1972,89.4
Alabama,1972,75.5
Alabama,1972,60.5
Alabama,1972,59.2
Alabama,1973,53.6
Alabama,1973,56.9
Alabama,1973,70.4
Alabama,1973,71.2
Alabama,1973,80.3
Alabama,1973,87.8
Alabama,1973,90.4
Alabama,1973,88.7
Alabama,1973,87.1
Alabama,1973,79.6
Alabama,1973,70.0
Alabama,1973,57.9
Alabama,1974,64.0
Alabama,1974,60.4
Alabama,1974,72.8
Alabama,1974,75.7
Alabama,1974,83.4
Alabama,1974,85.0
Alabama,1974,90.4
Alabama,1974,88.4
Alabama,1974,80.7
Alabama,1974,75.3
Alabama,1974,66.0
Alabama,1974,57.5
Alabama,1975,60.2
Alabama,1975,62.6
Alabama,1975,66.0
Alabama,1975,73.5
Alabama,1975,83.2
Alabama,1975,87.3
Alabama,1975,88.0
Alabama,1975,88.6
Alabama,1975,80.8
Alabama,1975,75.7
Alabama,1975,66.4
Alabama,1975,56.5
Alabama,1976,52.8
Alabama,1976,67.2
Alabama,1976,69.8
Alabama,1976,77.4
Alabama,1976,76.6
Alabama,1976,85.9
Alabama,1976,90.0
Alabama,1976,89.0
Alabama,1976,83.0
Alabama,1976,70.5
Alabama,1976,58.3
Alabama,1976,54.2
Alabama,1977,43.6
Alabama,1977,59.1
Alabama,1977,69.4
Alabama,1977,78.5
Alabama,1977,85.2
Alabama,1977,92.6
Alabama,1977,93.0
Alabama,1977,90.4
Alabama,1977,85.9
Alabama,1977,72.9
Alabama,1977,65.9
Alabama,1977,56.0
Alabama,1978,44.4
Alabama,1978,50.3
Alabama,1978,63.6
Alabama,1978,78.0
Alabama,1978,81.6
Alabama,1978,89.3
Alabama,1978,92.1
Alabama,1978,90.2
Alabama,1978,88.6
Alabama,1978,77.6
Alabama,1978,72.3
Alabama,1978,59.2
Alabama,1979,47.8
Alabama,1979,53.4
Alabama,1979,68.9
Alabama,1979,75.1
Alabama,1979,80.7
Alabama,1979,86.8
Alabama,1979,88.4
Alabama,1979,89.6
Alabama,1979,81.9
Alabama,1979,76.7
Alabama,1979,65.8
Alabama,1979,57.6
Alabama,1980,55.8
Alabama,1980,54.7
Alabama,1980,64.2
Alabama,1980,73.7
Alabama,1980,81.1
Alabama,1980,89.4
Alabama,1980,94.8
Alabama,1980,94.0
Alabama,1980,90.3
Alabama,1980,73.5
Alabama,1980,64.1
Alabama,1980,58.0
Alabama,1981,52.2
Alabama,1981,59.5
Alabama,1981,66.0
Alabama,1981,80.0
Alabama,1981,80.0
Alabama,1981,91.1
Alabama,1981,93.0
Alabama,1981,88.9
Alabama,1981,84.9
Alabama,1981,74.2
Alabama,1981,68.8
Alabama,1981,53.5
Alabama,1982,54.4
Alabama,1982,59.6
Alabama,1982,70.0
Alabama,1982,71.9
Alabama,1982,84.7
Alabama,1982,88.0
Alabama,1982,90.0
Alabama,1982,88.8
Alabama,1982,84.2
Alabama,1982,76.7
Alabama,1982,66.7
Alabama,1982,62.0
Alabama,1983,52.1
Alabama,1983,56.4
Alabama,1983,63.2
Alabama,1983,70.4
Alabama,1983,80.5
Alabama,1983,84.6
Alabama,1983,92.0
Alabama,1983,93.0
Alabama,1983,83.8
Alabama,1983,76.1
Alabama,1983,66.0
Alabama,1983,52.0
Alabama,1984,51.7
Alabama,1984,61.7
Alabama,1984,66.8
Alabama,1984,72.8
Alabama,1984,81.3
Alabama,1984,90.2
Alabama,1984,89.0
Alabama,1984,87.4
Alabama,1984,85.7
Alabama,1984,81.0
Alabama,1984,64.5
Alabama,1984,66.6
Alabama,1985,48.5
Alabama,1985,56.3
Alabama,1985,70.9
Alabama,1985,77.4
Alabama,1985,82.4
Alabama,1985,89.0
Alabama,1985,88.8
Alabama,1985,88.6
Alabama,1985,84.4
Alabama,1985,77.4
Alabama,1985,71.2
Alabama,1985,54.0
Alabama,1986,56.2
Alabama,1986,63.4
Alabama,1986,69.4
Alabama,1986,78.0
Alabama,1986,83.2
Alabama,1986,90.3
Alabama,1986,94.2
Alabama,1986,89.7
Alabama,1986,86.8
Alabama,1986,75.6
Alabama,1986,67.9
Alabama,1986,54.5
Alabama,1987,53.5
Alabama,1987,58.0
Alabama,1987,67.7
Alabama,1987,74.6
Alabama,1987,84.5
Alabama,1987,87.9
Alabama,1987,91.8
Alabama,1987,92.6
Alabama,1987,85.9
Alabama,1987,74.2
Alabama,1987,69.0
Alabama,1987,61.5
Alabama,1988,50.6
Alabama,1988,58.1
Alabama,1988,67.4
Alabama,1988,75.8
Alabama,1988,82.9
Alabama,1988,91.2
Alabama,1988,89.1
Alabama,1988,91.2
Alabama,1988,83.7
Alabama,1988,71.6
Alabama,1988,68.4
Alabama,1988,59.3
Alabama,1989,62.1
Alabama,1989,58.0
Alabama,1989,68.5
Alabama,1989,74.3
Alabama,1989,80.0
Alabama,1989,85.6
Alabama,1989,87.8
Alabama,1989,89.6
Alabama,1989,82.8
Alabama,1989,75.4
Alabama,1989,66.6
Alabama,1989,49.1
Alabama,1990,61.0
Alabama,1990,65.8
Alabama,1990,70.2
Alabama,1990,74.9
Alabama,1990,81.0
Alabama,1990,89.8
Alabama,1990,90.5
Alabama,1990,93.9
Alabama,1990,90.0
Alabama,1990,77.7
Alabama,1990,71.3
Alabama,1990,62.0
Alabama,1991,53.9
Alabama,1991,61.6
Alabama,1991,69.2
Alabama,1991,76.5
Alabama,1991,82.2
Alabama,1991,86.8
Alabama,1991,90.6
Alabama,1991,89.3
Alabama,1991,86.3
Alabama,1991,78.1
Alabama,1991,63.0
Alabama,1991,60.8
Alabama,1992,54.3
Alabama,1992,63.5
Alabama,1992,67.8
Alabama,1992,74.5
Alabama,1992,81.0
Alabama,1992,85.4
Alabama,1992,89.9
Alabama,1992,85.7
Alabama,1992,83.0
Alabama,1992,74.4
Alabama,1992,63.2
Alabama,1992,55.9
Alabama,1993,58.0
Alabama,1993,57.8
Alabama,1993,63.0
Alabama,1993,71.6
Alabama,1993,80.3
Alabama,1993,89.1
Alabama,1993,93.8
Alabama,1993,90.9
Alabama,1993,85.9
Alabama,1993,74.8
Alabama,1993,64.2
Alabama,1993,55.7
Alabama,1994,50.9
Alabama,1994,62.2
Alabama,1994,69.2
Alabama,1994,78.2
Alabama,1994,80.6
Alabama,1994,87.4
Alabama,1994,86.6
Alabama,1994,87.5
Alabama,1994,83.4
Alabama,1994,73.6
Alabama,1994,69.6
Alabama,1994,59.8
Alabama,1995,56.0
Alabama,1995,59.2
Alabama,1995,69.6
Alabama,1995,76.5
Alabama,1995,83.7
Alabama,1995,86.7
Alabama,1995,92.8
Alabama,1995,92.2
Alabama,1995,85.5
Alabama,1995,75.8
Alabama,1995,61.8
Alabama,1995,55.2
Alabama,1996,55.4
Alabama,1996,59.1
Alabama,1996,62.8
Alabama,1996,73.7
Alabama,1996,85.4
Alabama,1996,87.4
Alabama,1996,90.2
Alabama,1996,88.1
Alabama,1996,83.0
Alabama,1996,74.6
Alabama,1996,64.0
Alabama,1996,60.6
Alabama,1997,56.0
Alabama,1997,60.8
Alabama,1997,74.0
Alabama,1997,71.6
Alabama,1997,79.2
Alabama,1997,82.9
Alabama,1997,90.2
Alabama,1997,88.4
Alabama,1997,87.2
Alabama,1997,75.8
Alabama,1997,60.7
Alabama,1997,54.8
Alabama,1998,57.7
Alabama,1998,59.7
Alabama,1998,64.7
Alabama,1998,73.4
Alabama,1998,86.3
Alabama,1998,92.3
Alabama,1998,91.8
Alabama,1998,91.2
Alabama,1998,88.2
Alabama,1998,80.0
Alabama,1998,69.6
Alabama,1998,60.8
Alabama,1999,61.3
Alabama,1999,63.8
Alabama,1999,66.2
Alabama,1999,79.2
Alabama,1999,82.3
Alabama,1999,86.2
Alabama,1999,90.5
Alabama,1999,94.2
Alabama,1999,86.8
Alabama,1999,76.6
Alabama,1999,70.1
Alabama,1999,59.4
Alabama,2000,57.1
Alabama,2000,66.2
Alabama,2000,72.1
Alabama,2000,73.4
Alabama,2000,86.3
Alabama,2000,89.4
Alabama,2000,94.9
Alabama,2000,93.8
Alabama,2000,85.2
Alabama,2000,79.7
Alabama,2000,63.6
Alabama,2000,49.8
Alabama,2001,52.5
Alabama,2001,64.1
Alabama,2001,61.8
Alabama,2001,77.0
Alabama,2001,83.4
Alabama,2001,86.1
Alabama,2001,90.0
Alabama,2001,88.1
Alabama,2001,82.6
Alabama,2001,74.4
Alabama,2001,73.6
Alabama,2001,62.0
Alabama,2002,58.3
Alabama,2002,58.8
Alabama,2002,68.4
Alabama,2002,78.1
Alabama,2002,82.3
Alabama,2002,88.5
Alabama,2002,90.8
Alabama,2002,90.8
Alabama,2002,86.9
Alabama,2002,75.8
Alabama,2002,62.2
Alabama,2002,56.3
Alabama,2003,51.5
Alabama,2003,58.7
Alabama,2003,68.3
Alabama,2003,75.8
Alabama,2003,81.7
Alabama,2003,85.5
Alabama,2003,87.8
Alabama,2003,89.0
Alabama,2003,84.6
Alabama,2003,75.9
Alabama,2003,70.9
Alabama,2003,56.3
Alabama,2004,55.8
Alabama,2004,54.6
Alabama,2004,72.5
Alabama,2004,75.2
Alabama,2004,84.1
Alabama,2004,85.7
Alabama,2004,89.5
Alabama,2004,87.0
Alabama,2004,83.8
Alabama,2004,78.4
Alabama,2004,67.5
Alabama,2004,56.8
Alabama,2005,60.4
Alabama,2005,61.6
Alabama,2005,65.4
Alabama,2005,74.2
Alabama,2005,81.2
Alabama,2005,86.6
Alabama,2005,89.5
Alabama,2005,90.0
Alabama,2005,88.7
Alabama,2005,76.5
Alabama,2005,68.9
Alabama,2005,55.4
Alabama,2006,63.1
Alabama,2006,57.3
Alabama,2006,69.2
Alabama,2006,81.2
Alabama,2006,82.4
Alabama,2006,91.4
Alabama,2006,93.9
Alabama,2006,93.6
Alabama,2006,84.8
Alabama,2006,75.0
Alabama,2006,65.8
Alabama,2006,61.8
Alabama,2007,57.0
Alabama,2007,57.6
Alabama,2007,74.6
Alabama,2007,73.2
Alabama,2007,85.3
Alabama,2007,91.8
Alabama,2007,89.3
Alabama,2007,96.8
Alabama,2007,87.5
Alabama,2007,78.3
Alabama,2007,67.4
Alabama,2007,62.6
Alabama,2008,53.9
Alabama,2008,62.2
Alabama,2008,69.1
Alabama,2008,75.0
Alabama,2008,82.1
Alabama,2008,90.6
Alabama,2008,91.6
Alabama,2008,88.3
Alabama,2008,84.8
Alabama,2008,74.3
Alabama,2008,64.5
Alabama,2008,60.3
Alabama,2009,56.7
Alabama,2009,61.5
Alabama,2009,68.9
Alabama,2009,74.2
Alabama,2009,80.3
Alabama,2009,90.7
Alabama,2009,88.9
Alabama,2009,87.8
Alabama,2009,83.5
Alabama,2009,72.8
Alabama,2009,65.7
Alabama,2009,54.1
Alabama,2010,50.8
Alabama,2010,50.8
Alabama,2010,62.6
Alabama,2010,78.6
Alabama,2010,84.3
Alabama,2010,91.6
Alabama,2010,93.2
Alabama,2010,93.3
Alabama,2010,90.6
Alabama,2010,80.1
Alabama,2010,68.1
Alabama,2010,51.8
Alabama,2011,52.0
Alabama,2011,61.8
Alabama,2011,70.0
Alabama,2011,78.8
Alabama,2011,83.0
Alabama,2011,94.0
Alabama,2011,91.9
Alabama,2011,94.2
Alabama,2011,83.4
Alabama,2011,74.6
Alabama,2011,67.5
Alabama,2011,60.2
Alabama,2012,62.3
Alabama,2012,62.3
Alabama,2012,76.3
Alabama,2012,77.6
Alabama,2012,85.3
Alabama,2012,88.4
Alabama,2012,92.3
Alabama,2012,87.9
Alabama,2012,84.1
Alabama,2012,74.4
Alabama,2012,65.5
Alabama,2012,61.8
Alabama,2013,59.9
Alabama,2013,58.9
Alabama,2013,62.3
Alabama,2013,74.3
Alabama,2013,79.6
Alabama,2013,87.7
Alabama,2013,86.1
Alabama,2013,87.1
Alabama,2013,86.1
Alabama,2013,76.3
Alabama,2013,63.3
Alabama,2013,58.2
Alabama,2014,49.8
Alabama,2014,58.7
Alabama,2014,65.0
Alabama,2014,74.8
Alabama,2014,82.2
Alabama,2014,87.8
Alabama,2014,88.4
Alabama,2014,91.1
Alabama,2014,87.0
Alabama,2014,78.4
Alabama,2014,61.2
Alabama,2014,60.2
Alabama,2015,54.6
Alabama,2015,52.6
Alabama,2015,68.8
Alabama,2015,76.6
Alabama,2015,83.7
Alabama,2015,89.5
Alabama,2015,91.9
Alabama,2015,89.8
Alabama,2015,85.1
Alabama,2015,76.6
Alabama,2015,69.3
Alabama,2015,66.8
Alabama,2016,53.5
Alabama,2016,61.4
Alabama,2016,71.4
Alabama,2016,75.9
Alabama,2016,82.0
Alabama,2016,91.0
Alabama,2016,92.8
Alabama,2016,91.4
Alabama,2016,90.8
Alabama,2016,83.3
Alabama,2016,73.0
Alabama,2016,60.6
Alabama,2017,62.8
Alabama,2017,67.9
Alabama,2017,70.7
Alabama,2017,80.3
Alabama,2017,81.9
Alabama,2017,84.9
Alabama,2017,90.7
Alabama,2017,88.0
Alabama,2017,84.6
Alabama,2017,77.2
Alabama,2017,68.1
Alabama,2017,56.9
Alabama,2018,51.8
Alabama,2018,68.2
Alabama,2018,67.7
Alabama,2018,72.8
Arizona,1950,52.8
Arizona,1950,61.8
Arizona,1950,65.9
Arizona,1950,76.6
Arizona,1950,80.6
Arizona,1950,91.2
Arizona,1950,90.6
Arizona,1950,92.9
Arizona,1950,85.1
Arizona,1950,84.0
Arizona,1950,69.4
Arizona,1950,63.0
Arizona,1951,54.2
Arizona,1951,57.4
Arizona,1951,62.6
Arizona,1951,70.4
Arizona,1951,80.9
Arizona,1951,89.8
Arizona,1951,96.4
Arizona,1951,90.4
Arizona,1951,89.7
Arizona,1951,75.7
Arizona,1951,60.1
Arizona,1951,50.8
Arizona,1952,51.5
Arizona,1952,55.9
Arizona,1952,54.8
Arizona,1952,70.2
Arizona,1952,83.5
Arizona,1952,89.9
Arizona,1952,93.8
Arizona,1952,92.8
Arizona,1952,89.3
Arizona,1952,83.8
Arizona,1952,57.8
Arizona,1952,51.7
Arizona,1953,59.5
Arizona,1953,58.1
Arizona,1953,64.8
Arizona,1953,70.7
Arizona,1953,75.0
Arizona,1953,91.9
Arizona,1953,93.7
Arizona,1953,91.9
Arizona,1953,91.4
Arizona,1953,77.0
Arizona,1953,66.0
Arizona,1953,52.9
Arizona,1954,55.6
Arizona,1954,65.7
Arizona,1954,60.8
Arizona,1954,77.9
