state,year,tmin
Alabama,1969,57.6
Alabama,1969,65.0
Alabama,1969,69.9
Alabama,1969,65.5
Alabama,1969,60.5
Alabama,1969,52.7
Alabama,1969,35.9
Alabama,1969,31.9
Alabama,1970,27.6
Alabama,1970,30.7
Alabama,1970,41.2
Alabama,1970,53.3
Alabama,1970,57.2
Alabama,1970,64.3
Alabama,1970,67.0
Alabama,1970,69.1
Alabama,1970,65.6
Alabama,1970,53.0
Alabama,1970,36.5
Alabama,1970,37.4
Alabama,1971,34.1
Alabama,1971,33.2
Alabama,1971,37.4
Alabama,1971,46.1
Alabama,1971,53.6
Alabama,1971,65.7
Alabama,1971,67.9
Alabama,1971,67.4
Alabama,1971,65.1
Alabama,1971,55.9
Alabama,1971,39.1
Alabama,1971,45.5
Alabama,1972,37.7
Alabama,1972,36.0
Alabama,1972,42.1
Alabama,1972,50.1
Alabama,1972,56.9
Alabama,1972,62.6
Alabama,1972,66.1
Alabama,1972,67.3
Alabama,1972,64.9
Alabama,1972,51.2
Alabama,1972,41.0
Alabama,1972,39.0
Alabama,1973,32.8
Alabama,1973,32.4
Alabama,1973,49.3
Alabama,1973,49.0
Alabama,1973,55.1
Alabama,1973,65.9
Alabama,1973,69.4
Alabama,1973,66.4
Alabama,1973,65.8
Alabama,1973,53.7
Alabama,1973,45.2
Alabama,1973,34.0
Alabama,1974,45.9
Alabama,1974,35.0
Alabama,1974,47.4
Alabama,1974,48.4
Alabama,1974,60.3
Alabama,1974,61.8
Alabama,1974,67.3
Alabama,1974,67.1
Alabama,1974,61.0
Alabama,1974,45.2
Alabama,1974,39.3
Alabama,1974,36.0
Alabama,1975,37.9
Alabama,1975,39.5
Alabama,1975,41.4
Alabama,1975,48.2
Alabama,1975,61.3
Alabama,1975,64.9
Alabama,1975,68.0
Alabama,1975,68.5
Alabama,1975,60.1
Alabama,1975,52.8
Alabama,1975,42.3
Alabama,1975,33.9
Alabama,1976,28.3
Alabama,1976,38.8
Alabama,1976,46.6
Alabama,1976,48.0
Alabama,1976,54.1
Alabama,1976,63.2
Alabama,1976,67.1
Alabama,1976,65.2
Alabama,1976,61.0
Alabama,1976,45.3
Alabama,1976,33.4
Alabama,1976,29.9
Alabama,1977,23.0
Alabama,1977,31.2
Alabama,1977,45.7
Alabama,1977,51.3
Alabama,1977,58.7
Alabama,1977,65.7
Alabama,1977,69.7
Alabama,1977,68.8
Alabama,1977,65.5
Alabama,1977,47.6
Alabama,1977,45.9
Alabama,1977,33.5
Alabama,1978,26.8
Alabama,1978,27.3
Alabama,1978,38.8
Alabama,1978,49.7
Alabama,1978,58.4
Alabama,1978,66.6
Alabama,1978,69.4
Alabama,1978,68.4
Alabama,1978,65.2
Alabama,1978,46.8
Alabama,1978,46.1
Alabama,1978,34.0
Alabama,1979,27.8
Alabama,1979,33.8
Alabama,1979,42.6
Alabama,1979,52.2
Alabama,1979,58.2
Alabama,1979,63.6
Alabama,1979,69.5
Alabama,1979,67.3
Alabama,1979,63.3
Alabama,1979,48.1
Alabama,1979,39.8
Alabama,1979,33.7
Alabama,1980,37.6
Alabama,1980,30.8
Alabama,1980,41.0
Alabama,1980,47.5
Alabama,1980,59.2
Alabama,1980,65.4
Alabama,1980,70.5
Alabama,1980,69.1
Alabama,1980,65.9
Alabama,1980,47.0
Alabama,1980,39.9
Alabama,1980,32.0
Alabama,1981,26.8
Alabama,1981,35.0
Alabama,1981,38.5
Alabama,1981,53.7
Alabama,1981,54.5
Alabama,1981,68.7
Alabama,1981,69.8
Alabama,1981,67.6
Alabama,1981,58.0
Alabama,1981,49.5
Alabama,1981,40.7
Alabama,1981,32.8
Alabama,1982,31.4
Alabama,1982,37.2
Alabama,1982,47.0
Alabama,1982,49.0
Alabama,1982,58.6
Alabama,1982,64.6
Alabama,1982,69.0
Alabama,1982,68.4
Alabama,1982,60.2
Alabama,1982,51.5
Alabama,1982,43.4
Alabama,1982,42.8
Alabama,1983,32.2
Alabama,1983,36.8
Alabama,1983,40.8
Alabama,1983,45.2
Alabama,1983,56.7
Alabama,1983,64.4
Alabama,1983,69.1
Alabama,1983,69.2
Alabama,1983,60.2
Alabama,1983,51.9
Alabama,1983,40.4
Alabama,1983,31.6
Alabama,1984,29.0
Alabama,1984,35.5
Alabama,1984,40.7
Alabama,1984,49.3
Alabama,1984,56.2
Alabama,1984,64.0
Alabama,1984,67.5
Alabama,1984,67.2
Alabama,1984,59.3
Alabama,1984,58.0
Alabama,1984,39.0
Alabama,1984,43.5
Alabama,1985,25.9
Alabama,1985,34.8
Alabama,1985,46.4
Alabama,1985,50.6
Alabama,1985,58.9
Alabama,1985,66.0
Alabama,1985,68.2
Alabama,1985,68.1
Alabama,1985,61.0
Alabama,1985,57.8
Alabama,1985,51.4
Alabama,1985,29.1
Alabama,1986,30.0
Alabama,1986,39.6
Alabama,1986,41.3
Alabama,1986,47.0
Alabama,1986,59.5
Alabama,1986,67.8
Alabama,1986,70.3
Alabama,1986,67.0
Alabama,1986,65.8
Alabama,1986,53.1
Alabama,1986,49.7
Alabama,1986,37.3
Alabama,1987,32.5
Alabama,1987,38.5
Alabama,1987,43.6
Alabama,1987,45.9
Alabama,1987,62.4
Alabama,1987,66.0
Alabama,1987,68.6
Alabama,1987,70.0
Alabama,1987,61.3
Alabama,1987,41.4
Alabama,1987,42.5
Alabama,1987,39.3
Alabama,1988,30.8
Alabama,1988,32.6
Alabama,1988,41.2
Alabama,1988,49.7
Alabama,1988,53.7
Alabama,1988,63.0
Alabama,1988,68.8
Alabama,1988,69.5
Alabama,1988,65.3
Alabama,1988,46.8
Alabama,1988,44.6
Alabama,1988,34.4
Alabama,1989,39.0
Alabama,1989,38.1
Alabama,1989,46.0
Alabama,1989,47.9
Alabama,1989,57.1
Alabama,1989,66.5
Alabama,1989,69.5
Alabama,1989,67.6
Alabama,1989,63.0
Alabama,1989,49.2
Alabama,1989,41.3
Alabama,1989,27.6
Alabama,1990,38.6
Alabama,1990,43.6
Alabama,1990,45.9
Alabama,1990,47.8
Alabama,1990,57.8
Alabama,1990,65.5
Alabama,1990,68.4
Alabama,1990,67.9
Alabama,1990,62.5
Alabama,1990,50.3
Alabama,1990,41.6
Alabama,1990,39.8
Alabama,1991,37.6
Alabama,1991,39.4
Alabama,1991,44.6
Alabama,1991,55.2
Alabama,1991,64.3
Alabama,1991,66.8
Alabama,1991,70.3
Alabama,1991,68.4
Alabama,1991,62.5
Alabama,1991,51.1
Alabama,1991,37.7
Alabama,1991,38.8
Alabama,1992,33.9
Alabama,1992,39.3
Alabama,1992,42.0
Alabama,1992,48.5
Alabama,1992,55.0
Alabama,1992,64.3
Alabama,1992,69.8
Alabama,1992,66.0
Alabama,1992,63.8
Alabama,1992,49.4
Alabama,1992,41.6
Alabama,1992,38.3
Alabama,1993,39.6
Alabama,1993,34.7
Alabama,1993,40.4
Alabama,1993,45.9
Alabama,1993,57.3
Alabama,1993,66.1
Alabama,1993,70.5
Alabama,1993,69.3
Alabama,1993,62.2
Alabama,1993,50.8
Alabama,1993,39.2
Alabama,1993,34.9
Alabama,1994,30.8
Alabama,1994,38.3
Alabama,1994,42.3
Alabama,1994,51.3
Alabama,1994,56.2
Alabama,1994,68.2
Alabama,1994,68.5
Alabama,1994,66.8
Alabama,1994,61.0
Alabama,1994,54.2
Alabama,1994,46.4
Alabama,1994,40.0
Alabama,1995,34.9
Alabama,1995,36.0
Alabama,1995,46.9
Alabama,1995,49.8
Alabama,1995,60.5
Alabama,1995,63.7
Alabama,1995,69.5
Alabama,1995,71.6
Alabama,1995,62.0
Alabama,1995,51.4
Alabama,1995,37.5
Alabama,1995,34.1
Alabama,1996,31.7
Alabama,1996,35.5
Alabama,1996,39.0
Alabama,1996,46.3
Alabama,1996,60.5
Alabama,1996,66.0
Alabama,1996,69.0
Alabama,1996,67.7
Alabama,1996,61.3
Alabama,1996,50.9
Alabama,1996,41.5
Alabama,1996,37.7
Alabama,1997,35.8
Alabama,1997,40.8
Alabama,1997,48.4
Alabama,1997,46.1
Alabama,1997,55.1
Alabama,1997,65.0
Alabama,1997,70.0
