구분,계,전부,1/2이상,1/2미만,미회수
강도,"1,546",161,59,55,"1,271"
절도,"119,467","23,876","2,136","1,953","91,502"
공갈,"3,523",86,2,2,"3,433"
손괴,"27,543","1,217",61,143,"26,122"
사기,"164,594","5,715",876,"1,928","156,075"
횡령,"22,761","1,708",186,197,"20,670"
배임,"3,986",67,12,30,"3,877"
장물,"14,659",2,-,-,"14,657"
