수법구분,수법분류,발생건수,구성비(%),검거건수,구성비(%)
침입강도,일반강도,243,15.3,242,15.7
침입강도,감금강도,23,1.5,24,1.6
침입강도,인질강도,11,0.7,11,0.7
침입강도,기타,416,26.2,407,26.3
비침입강도,차내강도·운전자상대강도,74,4.7,71,4.6
비침입강도,노상강도,226,14.2,208,13.5
비침입강도,차량이용강도,29,1.8,27,1.7
비침입강도,마취강도,21,1.3,22,1.4
비침입강도,약취·유인강도,76,4.8,71,4.6
비침입강도,기타,414,26.1,405,26.2
해상강도,해상강도,1,0.1,1,0.1
강도강간,강도강간,13,0.8,13,0.8
미상,미상,39,2.5,44,2.8
