수법구분,수법분류,발생건수,구성비(%),검거건수,구성비(%)
침입절도,빈집 절도,"17,919",7.3,"8,179",6.4
침입절도,사무실 절도,"2,825",1.1,"1,782",1.4
침입절도,공장 절도,819,0.3,530,0.4
침입절도,상점 절도,"14,830",6,"10,877",8.5
침입절도,숙박업소 절도,963,0.4,500,0.4
침입절도,기타,"29,904",12.2,"17,473",13.7
비침입절도,소매치기 절도,"1,401",0.6,344,0.3
비침입절도,날치기 절도,384,0.2,198,0.2
비침입절도,치기절도-기타,"5,327",2.2,"3,406",2.7
비침입절도,들치기 절도,"22,809",9.3,"12,197",9.6
비침입절도,속임수 절도,"2,572",1,"1,956",1.5
비침입절도,기타,"99,645",40.5,"54,062",42.4
기타,차량절도,"4,608",1.9,"2,597",2
기타,오토바이 절도,"9,627",3.9,"3,590",2.8
기타,자전거 절도,"22,538",9.2,"4,419",3.5
기타,축산물 절도,580,0.2,215,0.2
기타,기타,"9,072",3.7,"5,035",4
미상,미상,30,0,8,0
