수법구분,수법분류,발생건수,구성비(%),검거건수,구성비(%)
침입강도,일반강도,205,14.2,199,13.7
침입강도,감금강도,16,1.1,22,1.5
침입강도,인질강도,14,1,13,0.9
침입강도,기타,372,25.7,377,25.9
비침입강도,"차내강도, 운전자 상대 강도",70,4.8,71,4.9
비침입강도,노상강도,185,12.8,190,13
비침입강도,차량이용강도,17,1.2,18,1.2
비침입강도,마취강도,37,2.6,37,2.5
비침입강도,약취 유인 강도,112,7.7,117,8
비침입강도,기타,407,28.1,401,27.5
해상강도,해상강도,-,-,-,-
강도강간,강도강간,11,0.8,12,0.8
미상,미상,-,-,-,-
