범죄대분류,범죄중분류,계,일,월,화,수,목,금,토
강력범죄,살인기수,356,50,55,43,61,40,54,53
강력범죄,살인미수등,558,91,86,78,81,70,81,71
강력범죄,강도,"1,149",167,157,166,165,163,175,156
강력범죄,강간,"5,155",873,655,701,655,615,760,896
강력범죄,유사강간,583,86,67,93,82,65,82,108
강력범죄,강제추행,"16,054","2,373","2,091","2,122","2,128","2,228","2,471","2,641"
강력범죄,기타 강간 강제추행등,408,62,56,61,51,52,58,68
강력범죄,방화,"1,502",229,218,211,193,223,221,207
절도범죄,절도범죄,"203,037","28,759","27,683","27,628","27,861","27,809","30,852","32,445"
폭력범죄,상해,"50,028","7,820","6,594","6,886","6,853","6,770","7,161","7,944"
폭력범죄,폭행,"165,803","27,162","20,470","21,793","22,403","22,168","23,728","28,079"
폭력범죄,체포 감금,"1,318",175,208,191,209,179,188,168
폭력범죄,협박,"15,870","2,349","2,197","2,254","2,268","2,231","2,242","2,329"
폭력범죄,약취 유인,201,28,30,31,36,17,29,30
폭력범죄,폭력행위등,"13,302","2,445","1,586","1,685","1,667","1,654","1,845","2,420"
폭력범죄,공갈,"3,745",413,549,573,546,566,548,550
폭력범죄,손괴,"59,127","8,865","7,787","7,974","7,949","7,990","8,839","9,723"
지능범죄,직무유기,531,43,99,89,91,86,94,29
지능범죄,직권남용,437,25,66,77,76,88,64,41
지능범죄,증수뢰,260,24,49,32,51,36,52,16
지능범죄,통화,"1,811",57,332,332,312,343,356,79
지능범죄,문서 인장,"13,295",874,"2,427","2,232","2,245","2,157","2,294","1,066"
지능범죄,유가증권인지,219,7,47,45,37,32,38,13
지능범죄,사기,"241,613","19,759","39,426","40,183","40,326","40,052","39,638","22,229"
지능범죄,횡령,"50,053","6,159","7,309","7,087","7,193","7,309","8,077","6,919"
지능범죄,배임,"4,358",274,706,749,753,706,823,347
풍속범죄,성풍속범죄,"12,719","1,501","1,834","2,080","1,815","1,970","1,918","1,601"
풍속범죄,도박범죄,"13,446","1,510","1,866","1,894","1,964","1,932","2,378","1,902"
특별경제범죄,특별경제범죄,"65,025","6,113","10,131","10,943","10,292","10,365","10,401","6,780"
마약범죄,마약범죄,"7,329",786,"1,143","1,225","1,118","1,088","1,200",769
보건범죄,보건범죄,"14,662","1,076","2,288","2,449","2,413","2,487","2,545","1,404"
환경범죄,환경범죄,"4,349",335,715,764,738,732,687,378
교통범죄,교통범죄,"600,401","79,265","80,279","85,163","85,277","87,438","91,267","91,712"
노동범죄,노동범죄,"2,457",84,468,570,406,425,397,107
안보범죄,안보범죄,81,4,14,16,11,16,6,14
선거범죄,선거범죄,"1,018",109,159,138,224,139,145,104
병역범죄,병역범죄,"16,651",178,"3,854","4,422","2,431","2,750","2,760",256
기타범죄,기타범죄,"260,539","29,040","39,069","40,675","39,676","40,077","40,735","31,267"
