수법구분,수법분류,발생건수,구성비(%),검거건수,구성비(%)
침입강도,일반강도,169,14.7,174,14.9
침입강도,감금강도,11,1,11,0.9
침입강도,인질강도,14,1.2,15,1.3
침입강도,기타,289,25.2,289,24.7
비침입강도,차내강도 운전자 상대 강도,44,3.8,44,3.8
비침입강도,노상강도,158,13.8,161,13.8
비침입강도,차량이용강도,10,0.9,11,0.9
비침입강도,마취강도,14,1.2,17,1.5
비침입강도,약취 유인 강도,80,7,76,6.5
비침입강도,기타,355,30.9,365,31.3
해상강도,해상강도,-,-,-,-
강도강간,강도강간,5,0.4,5,0.4
미상,미상,-,-,-,-
